State,ADD,ASG,COMMA,ELSE,FLOAT,FLOAT_NUM,ID,IF,INT,INT_NUM,LBR,LBRACK,LPAR,MUL,PRINT,RBR,RBRACK,REL_OP,RETURN,RPAR,SEMI,VOID,WHILE,END,AddExpr,ArgList,CompStmt,Decl,DeclList,Expr,ExprStmt,Fact,FunDecl,IfStmt,LoopStmt,OtherStmt,Param,ParamList,PrintStmt,RetStmt,SimpExpr,Stmt,StmtList,Term,Type,VarDecl
0,,,,,s7,,,,s6,,,,,,,,,,,,,s1,,,,,,8,3,,,,2,,,,,,,,,,,,4,5
1,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,r4,,,,r4,,,,,,,,,,,,,r4,,r4,,,,,,,,,,,,,,,,,,,,,,
3,,,,,s7,,,,s6,,,,,,,,,,,,,s1,,acc,,,,9,,,,,2,,,,,,,,,,,,4,5
4,,,,,,,s10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,r3,,,,r3,,,,,,,,,,,,,r3,,r3,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,r2,,,,r2,,,,,,,,,,,,,r2,,r2,,,,,,,,,,,,,,,,,,,,,,
9,,,,,r1,,,,r1,,,,,,,,,,,,,r1,,r1,,,,,,,,,,,,,,,,,,,,,,
10,,s13,,,,,,,,,,s12,s11,,,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,r14,,s7,,,,s6,,,,,,,,,,,r14,,s1,,,,,,,,,,,,,,,17,16,,,,,,,15,
12,,,,,,,,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,s25,s24,,,s21,,,s23,,,,,,,,,,,,22,,,,,26,,27,,,,,,,,,19,,,20,,
14,,,,,r5,r5,r5,r5,r5,r5,r5,,r5,,r5,r5,,,r5,,r5,r5,r5,r5,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,s30,,,,,,,,,,,,,,,,,s29,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r13,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,r39,,,,,,,,,,,,,,r39,,,r39,r39,,,,,,,,,,,,,,,,,,,,,,,,,
20,r43,,r43,,,,,,,,,,,s32,,,r43,r43,,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,
21,r48,,r48,,,,,,,,,,,r48,,,r48,r48,,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,
22,s33,,r41,,,,,,,,,,,,,,r41,s34,,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,
